# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       140       70.000       358.85      0.08863923  -1313.10646858  -1313.01782934
       141       70.500       309.65      0.07648600  -1313.10413303  -1313.02764703
       142       71.000       292.83      0.07233277  -1313.10303684  -1313.03070407
       143       71.500       378.75      0.09355489  -1313.10392153  -1313.01036664
       144       72.000       334.11      0.08252858  -1313.10507376  -1313.02254519
       145       72.500       390.82      0.09653596  -1313.10549660  -1313.00896065
       146       73.000       338.79      0.08368398  -1313.10610552  -1313.02242155
       147       73.500       333.14      0.08229055  -1313.10677792  -1313.02448737
       148       74.000       274.03      0.06768739  -1313.10839521  -1313.04070782
       149       74.500       301.46      0.07446488  -1313.10860682  -1313.03414194
       150       75.000       323.02      0.07978925  -1313.10843504  -1313.02864579
       151       75.500       326.07      0.08054400  -1313.10889794  -1313.02835394
       152       76.000       320.88      0.07926100  -1313.10819579  -1313.02893479
       153       76.500       344.53      0.08510233  -1313.10904897  -1313.02394665
       154       77.000       313.93      0.07754375  -1313.10790941  -1313.03036565
       155       77.500       315.32      0.07788684  -1313.10924050  -1313.03135366
       156       78.000       324.10      0.08005754  -1313.10981356  -1313.02975602
       157       78.500       265.92      0.06568483  -1313.10857125  -1313.04288642
       158       79.000       260.47      0.06434003  -1313.10719915  -1313.04285912
       159       79.500       293.44      0.07248315  -1313.10660275  -1313.03411960
       160       80.000       341.99      0.08447613  -1313.10775282  -1313.02327669
       161       80.500       331.96      0.08199762  -1313.10860757  -1313.02660996
       162       81.000       320.90      0.07926568  -1313.10782839  -1313.02856271
       163       81.500       286.03      0.07065286  -1313.10653306  -1313.03588020
       164       82.000       325.74      0.08046127  -1313.10562952  -1313.02516825
       165       82.500       339.67      0.08390283  -1313.10588901  -1313.02198617
       166       83.000       340.31      0.08406074  -1313.10752363  -1313.02346289
       167       83.500       333.19      0.08230118  -1313.10845382  -1313.02615264
       168       84.000       334.42      0.08260485  -1313.10871052  -1313.02610567
       169       84.500       323.54      0.07991766  -1313.10840630  -1313.02848864
       170       85.000       322.73      0.07971897  -1313.10802855  -1313.02830958
       171       85.500       292.62      0.07228096  -1313.10821848  -1313.03593752
       172       86.000       233.07      0.05757214  -1313.10810865  -1313.05053651
       173       86.500       316.14      0.07808979  -1313.10841976  -1313.03032997
       174       87.000       282.54      0.06979172  -1313.10913687  -1313.03934515
       175       87.500       306.55      0.07572241  -1313.10928454  -1313.03356213
       176       88.000       331.83      0.08196470  -1313.10962677  -1313.02766207
       177       88.500       284.77      0.07034229  -1313.10897693  -1313.03863464
       178       89.000       318.15      0.07858579  -1313.10886522  -1313.03027943
       179       89.500       267.94      0.06618409  -1313.10847412  -1313.04229002
       180       90.000       255.38      0.06308079  -1313.10971825  -1313.04663746
       181       90.500       266.49      0.06582522  -1313.10988349  -1313.04405827
       182       91.000       245.28      0.06058755  -1313.10982095  -1313.04923340
       183       91.500       289.67      0.07155151  -1313.10938360  -1313.03783209
       184       92.000       316.33      0.07813635  -1313.10932202  -1313.03118567
       185       92.500       278.03      0.06867715  -1313.10892322  -1313.04024608
       186       93.000       271.83      0.06714461  -1313.10859953  -1313.04145492
       187       93.500       241.51      0.05965467  -1313.10922663  -1313.04957196
       188       94.000       308.61      0.07623123  -1313.10965048  -1313.03341926
       189       94.500       302.37      0.07468761  -1313.10898885  -1313.03430124
       190       95.000       285.99      0.07064214  -1313.10858373  -1313.03794159
       191       95.500       290.87      0.07184932  -1313.10730146  -1313.03545215
       192       96.000       324.31      0.08010872  -1313.10771193  -1313.02760321
       193       96.500       303.32      0.07492296  -1313.10865229  -1313.03372933
       194       97.000       294.84      0.07282881  -1313.10775900  -1313.03493019
       195       97.500       288.83      0.07134371  -1313.10702128  -1313.03567758
       196       98.000       331.07      0.08177783  -1313.10781194  -1313.02603411
       197       98.500       349.11      0.08623343  -1313.10765360  -1313.02142016
       198       99.000       374.93      0.09261298  -1313.10684417  -1313.01423119
       199       99.500       299.81      0.07405610  -1313.10664965  -1313.03259354
       200      100.000       370.52      0.09152379  -1313.10799792  -1313.01647413
       201      100.500       287.16      0.07093234  -1313.10670947  -1313.03577713
       202      101.000       365.91      0.09038402  -1313.10526316  -1313.01487914
       203      101.500       274.67      0.06784751  -1313.10620487  -1313.03835735
       204      102.000       319.57      0.07893830  -1313.10771164  -1313.02877334
       205      102.500       287.60      0.07104115  -1313.10850457  -1313.03746342
       206      103.000       300.02      0.07410857  -1313.10806442  -1313.03395585
       207      103.500       303.10      0.07486797  -1313.10861620  -1313.03374822
       208      104.000       294.48      0.07273962  -1313.10911335  -1313.03637373
       209      104.500       321.13      0.07932315  -1313.11053088  -1313.03120773
       210      105.000       328.02      0.08102565  -1313.11087793  -1313.02985228
       211      105.500       292.23      0.07218348  -1313.11037823  -1313.03819475
       212      106.000       331.44      0.08186921  -1313.10996816  -1313.02809896
