# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       165       82.500      1678.79      0.11961929   -234.49470954   -234.37509025
       166       83.000      1943.57      0.13848540   -234.49484581   -234.35636041
       167       83.500      2118.24      0.15093164   -234.49536843   -234.34443680
       168       84.000      1914.70      0.13642844   -234.49167199   -234.35524355
       169       84.500      1641.24      0.11694390   -234.49209436   -234.37515046
       170       85.000      2154.01      0.15348039   -234.49188445   -234.33840407
       171       85.500      2006.89      0.14299720   -234.49319329   -234.35019610
       172       86.000      2894.63      0.20625189   -234.49534412   -234.28909223
       173       86.500      2591.44      0.18464884   -234.49371023   -234.30906139
       174       87.000      1770.56      0.12615848   -234.49055400   -234.36439552
       175       87.500      2111.14      0.15042548   -234.49035193   -234.33992646
       176       88.000      2463.47      0.17553007   -234.49395880   -234.31842873
       177       88.500      1302.14      0.09278137   -234.49192164   -234.39914027
       178       89.000      1815.36      0.12935019   -234.49550156   -234.36615137
       179       89.500      2233.42      0.15913817   -234.49289260   -234.33375443
       180       90.000      1802.26      0.12841714   -234.49616703   -234.36774989
       181       90.500      1383.17      0.09855534   -234.49354933   -234.39499400
       182       91.000      1784.64      0.12716167   -234.49396425   -234.36680259
       183       91.500      2717.08      0.19360054   -234.49564268   -234.30204215
       184       92.000      2229.64      0.15886939   -234.49393813   -234.33506874
       185       92.500      2002.44      0.14268021   -234.48987507   -234.34719486
       186       93.000      1639.71      0.11683467   -234.49201299   -234.37517832
       187       93.500      2067.28      0.14730048   -234.48777688   -234.34047640
       188       94.000      1438.36      0.10248797   -234.48886162   -234.38637365
       189       94.500      1397.40      0.09956905   -234.48795831   -234.38838926
       190       95.000      2590.90      0.18460977   -234.48795700   -234.30334723
       191       95.500      2185.19      0.15570217   -234.49151333   -234.33581116
       192       96.000      1592.17      0.11344753   -234.49312281   -234.37967529
       193       96.500      2381.43      0.16968476   -234.49489015   -234.32520539
       194       97.000      2029.75      0.14462596   -234.49464107   -234.35001511
       195       97.500      1529.40      0.10897493   -234.49310926   -234.38413433
       196       98.000      2422.32      0.17259809   -234.49188858   -234.31929049
       197       98.500      1863.78      0.13280072   -234.48914876   -234.35634804
       198       99.000      1633.98      0.11642606   -234.49048379   -234.37405773
       199       99.500      2283.79      0.16272728   -234.49016243   -234.32743515
       200      100.000      1727.45      0.12308625   -234.49360924   -234.37052299
       201      100.500      2458.46      0.17517298   -234.49064250   -234.31546952
       202      101.000      1502.05      0.10702573   -234.49072192   -234.38369619
       203      101.500      1416.62      0.10093859   -234.48894711   -234.38800852
       204      102.000      2496.33      0.17787147   -234.48819506   -234.31032359
       205      102.500      1750.63      0.12473773   -234.49084349   -234.36610576
       206      103.000      2474.31      0.17630260   -234.48883787   -234.31253527
       207      103.500      1851.94      0.13195691   -234.48768357   -234.35572667
       208      104.000      2708.24      0.19297086   -234.48588060   -234.29290974
       209      104.500      1328.09      0.09463058   -234.49569000   -234.40105943
       210      105.000      2075.11      0.14785844   -234.49685840   -234.34899996
       211      105.500      2129.53      0.15173601   -234.49554364   -234.34380764
