# MD Simulation - NVE Ensemble
# Timestep: 0.1 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       197       19.700       209.30      0.02883274   -779.14010249   -779.11126975
       198       19.800       206.55      0.02845347   -779.13999604   -779.11154257
       199       19.900       202.98      0.02796240   -779.13985820   -779.11189580
       200       20.000       198.74      0.02737816   -779.13969419   -779.11231603
       201       20.100       193.98      0.02672169   -779.13951000   -779.11278831
       202       20.200       188.85      0.02601521   -779.13931171   -779.11329650
       203       20.300       183.52      0.02528116   -779.13910580   -779.11382464
       204       20.400       178.15      0.02454114   -779.13889822   -779.11435708
       205       20.500       172.88      0.02381506   -779.13869459   -779.11487952
       206       20.600       167.84      0.02312044   -779.13849977   -779.11537933
       207       20.700       163.13      0.02247181   -779.13831795   -779.11584614
       208       20.800       158.83      0.02188046   -779.13815230   -779.11627184
       209       20.900       155.02      0.02135440   -779.13800490   -779.11665050
       210       21.000       151.71      0.02089855   -779.13787721   -779.11697866
       211       21.100       148.92      0.02051517   -779.13776984   -779.11725467
       212       21.200       146.67      0.02020450   -779.13768291   -779.11747841
       213       21.300       144.93      0.01996547   -779.13761597   -779.11765049
       214       21.400       143.71      0.01979644   -779.13756872   -779.11777228
       215       21.500       142.98      0.01969586   -779.13754055   -779.11784469
       216       21.600       142.74      0.01966274   -779.13753128   -779.11786854
       217       21.700       142.98      0.01969683   -779.13754082   -779.11784399
       218       21.800       143.72      0.01979838   -779.13756928   -779.11777090
       219       21.900       144.95      0.01996766   -779.13761668   -779.11764901
       220       22.000       146.66      0.02020401   -779.13768297   -779.11747896
       221       22.100       148.85      0.02050474   -779.13776726   -779.11726252
       222       22.200       151.46      0.02086403   -779.13786804   -779.11700401
       223       22.300       154.42      0.02127192   -779.13798255   -779.11671063
       224       22.400       157.62      0.02171379   -779.13810661   -779.11639282
       225       22.500       160.94      0.02217037   -779.13823490   -779.11606453
       226       22.600       164.19      0.02261846   -779.13836087   -779.11574241
       227       22.700       167.20      0.02303233   -779.13847724   -779.11544491
       228       22.800       169.76      0.02338573   -779.13857661   -779.11519088
       229       22.900       171.71      0.02365427   -779.13865216   -779.11499789
       230       23.000       172.90      0.02381786   -779.13869825   -779.11488039
       231       23.100       173.23      0.02386298   -779.13871096   -779.11484798
       232       23.200       172.66      0.02378434   -779.13868887   -779.11490454
       233       23.300       171.21      0.02358586   -779.13863305   -779.11504719
       234       23.400       169.00      0.02328080   -779.13854725   -779.11526645
       235       23.500       166.17      0.02289091   -779.13843755   -779.11554665
       236       23.600       162.93      0.02244490   -779.13831210   -779.11586721
       237       23.700       159.53      0.02197619   -779.13818021   -779.11620402
       238       23.800       156.22      0.02152031   -779.13805182   -779.11653151
       239       23.900       153.26      0.02111212   -779.13793700   -779.11682488
       240       24.000       150.87      0.02078323   -779.13784440   -779.11706117
       241       24.100       149.25      0.02055973   -779.13778146   -779.11722173
       242       24.200       148.53      0.02046050   -779.13775348   -779.11729298
       243       24.300       148.79      0.02049609   -779.13776345   -779.11726736
       244       24.400       150.04      0.02066836   -779.13781183   -779.11714348
       245       24.500       152.23      0.02097061   -779.13789667   -779.11692606
       246       24.600       155.26      0.02138838   -779.13801405   -779.11662567
       247       24.700       158.98      0.02190059   -779.13815796   -779.11625737
       248       24.800       163.19      0.02248094   -779.13832098   -779.11584004
       249       24.900       167.68      0.02309952   -779.13849477   -779.11539525
       250       25.000       172.22      0.02372435   -779.13867030   -779.11494595
