
================================================================================
                                 MD SIMULATION                                  
================================================================================
Ensemble:        NVE
Timestep:        0.250 fs
Total steps:     4000000
Simulation time: 1000000.00 fs

System:
  Atoms:         30
  Formula:       C8H15N3O4
  Charge:        0
  Multiplicity:  1

================================================================================

WARNING: Pre-existing output files were backed up:
  Backed up existing file: agnve.out -> #agnve.out.1#


       Step         Time(ps)  Progress      T(K)      E_total(Ha)  Speed(ns/day)         ETA
  ---------  ---------------  --------  --------  ---------------  -------------  ----------

Starting NVE simulation...

  Step    13900     3475.00 fs  T  351.42 K  E    -779.086254 Ha
  Step    14000     3500.00 fs  T  435.16 K  E    -779.077972 Ha
  Step    14100     3525.00 fs  T  521.59 K  E    -779.069401 Ha
  Step    14200     3550.00 fs  T  446.46 K  E    -779.076831 Ha
  Step    14300     3575.00 fs  T  401.88 K  E    -779.081260 Ha
  Step    14400     3600.00 fs  T  397.31 K  E    -779.081705 Ha
  Step    14500     3625.00 fs  T  375.65 K  E    -779.083830 Ha
  Step    14600     3650.00 fs  T  407.81 K  E    -779.080649 Ha
  Step    14700     3675.00 fs  T  427.14 K  E    -779.078738 Ha
  Step    14800     3700.00 fs  T  335.01 K  E    -779.087873 Ha
  Step    14900     3725.00 fs  T  483.33 K  E    -779.073188 Ha
  Step    15000     3750.00 fs  T  406.26 K  E    -779.080838 Ha
  Step    15100     3775.00 fs  T  350.68 K  E    -779.086327 Ha
  Step    15200     3800.00 fs  T  425.87 K  E    -779.078874 Ha
  Step    15300     3825.00 fs  T  346.53 K  E    -779.086738 Ha
  Step    15400     3850.00 fs  T  374.13 K  E    -779.083995 Ha
  Step    15500     3875.00 fs  T  391.65 K  E    -779.082275 Ha
  Step    15600     3900.00 fs  T  436.58 K  E    -779.077822 Ha
  Step    15700     3925.00 fs  T  397.11 K  E    -779.081726 Ha
  Step    15800     3950.00 fs  T  438.68 K  E    -779.077614 Ha
  Step    15900     3975.00 fs  T  353.48 K  E    -779.086051 Ha
  Step    16000     4000.00 fs  T  399.48 K  E    -779.081479 Ha
  Step    16100     4025.00 fs  T  301.83 K  E    -779.091163 Ha
  Step    16200     4050.00 fs  T  343.76 K  E    -779.087022 Ha
  Step    16300     4075.00 fs  T  372.04 K  E    -779.084212 Ha
  Step    16400     4100.00 fs  T  354.49 K  E    -779.085955 Ha
  Step    16500     4125.00 fs  T  392.05 K  E    -779.082236 Ha
  Step    16600     4150.00 fs  T  385.45 K  E    -779.082881 Ha
  Step    16700     4175.00 fs  T  407.98 K  E    -779.080641 Ha
  Step    16800     4200.00 fs  T  368.23 K  E    -779.084604 Ha
  Step    16900     4225.00 fs  T  475.81 K  E    -779.073925 Ha
  Step    17000     4250.00 fs  T  376.66 K  E    -779.083748 Ha
  Step    17100     4275.00 fs  T  364.11 K  E    -779.084997 Ha
  Step    17200     4300.00 fs  T  348.25 K  E    -779.086552 Ha
  Step    17300     4325.00 fs  T  404.39 K  E    -779.080999 Ha
  Step    17400     4350.00 fs  T  409.41 K  E    -779.080529 Ha
  Step    17500     4375.00 fs  T  415.20 K  E    -779.079927 Ha
  Step    17600     4400.00 fs  T  385.97 K  E    -779.082811 Ha
  Step    17700     4425.00 fs  T  345.28 K  E    -779.086865 Ha
  Step    17800     4450.00 fs  T  383.63 K  E    -779.083066 Ha
  Step    17900     4475.00 fs  T  373.54 K  E    -779.084056 Ha
  Step    18000     4500.00 fs  T  450.44 K  E    -779.076437 Ha
  Step    18100     4525.00 fs  T  324.66 K  E    -779.088895 Ha
  Step    18200     4550.00 fs  T  323.70 K  E    -779.088971 Ha
  Step    18300     4575.00 fs  T  392.74 K  E    -779.082155 Ha
  Step    18400     4600.00 fs  T  401.48 K  E    -779.081298 Ha
  Step    18500     4625.00 fs  T  480.24 K  E    -779.073474 Ha
  Step    18600     4650.00 fs  T  457.00 K  E    -779.075796 Ha
  Step    18700     4675.00 fs  T  451.36 K  E    -779.076358 Ha
  Step    18800     4700.00 fs  T  411.45 K  E    -779.080296 Ha
  Step    18900     4725.00 fs  T  362.12 K  E    -779.085206 Ha
  Step    19000     4750.00 fs  T  421.51 K  E    -779.079311 Ha
  Step    19100     4775.00 fs  T  415.88 K  E    -779.079846 Ha
  Step    19200     4800.00 fs  T  427.98 K  E    -779.078664 Ha
  Step    19300     4825.00 fs  T  384.98 K  E    -779.082938 Ha
  Step    19400     4850.00 fs  T  442.50 K  E    -779.077205 Ha
