# MD Simulation - NVT Ensemble
# Timestep: 0.25 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       174       43.500       333.27      0.04591058   -779.13677397   -779.09086340
       175       43.750       328.36      0.04523380   -779.13630402   -779.09107022
       176       44.000       312.44      0.04304099   -779.13626644   -779.09322545
       177       44.250       306.90      0.04227745   -779.13697040   -779.09469296
       178       44.500       283.28      0.03902403   -779.13694911   -779.09792508
       179       44.750       245.21      0.03377897   -779.13689725   -779.10311828
       180       45.000       191.83      0.02642535   -779.13690302   -779.11047768
       181       45.250       293.84      0.04047868   -779.13706858   -779.09658990
       182       45.500       325.24      0.04480376   -779.13708155   -779.09227779
       183       45.750       350.34      0.04826108   -779.13694266   -779.08868158
       184       46.000       312.54      0.04305485   -779.13691881   -779.09386396
       185       46.250       300.94      0.04145700   -779.13667857   -779.09522156
       186       46.500       297.43      0.04097307   -779.13661049   -779.09563742
       187       46.750       286.04      0.03940395   -779.13636958   -779.09696563
       188       47.000       305.49      0.04208360   -779.13585976   -779.09377616
       189       47.250       294.62      0.04058624   -779.13580075   -779.09521451
       190       47.500       279.91      0.03855932   -779.13579796   -779.09723864
       191       47.750       296.61      0.04085934   -779.13568702   -779.09482769
       192       48.000       322.30      0.04439950   -779.13585397   -779.09145446
       193       48.250       400.96      0.05523540   -779.13605566   -779.08082027
       194       48.500       290.97      0.04008237   -779.13607085   -779.09598848
       195       48.750       325.38      0.04482363   -779.13570695   -779.09088332
       196       49.000       221.31      0.03048715   -779.13512338   -779.10463623
       197       49.250       214.67      0.02957222   -779.13505403   -779.10548181
       198       49.500       290.13      0.03996741   -779.13521306   -779.09524565
       199       49.750       348.49      0.04800715   -779.13513889   -779.08713173
       200       50.000       404.39      0.05570787   -779.13520190   -779.07949403
       201       50.250       351.92      0.04847901   -779.13490244   -779.08642344
       202       50.500       343.31      0.04729289   -779.13496139   -779.08766850
       203       50.750       291.98      0.04022222   -779.13496975   -779.09474753
       204       51.000       309.18      0.04259107   -779.13487165   -779.09228059
       205       51.250       372.57      0.05132349   -779.13527397   -779.08395048
       206       51.500       292.76      0.04032938   -779.13564227   -779.09531288
       207       51.750       275.22      0.03791280   -779.13606654   -779.09815374
       208       52.000       299.52      0.04126133   -779.13617993   -779.09491860
       209       52.250       269.66      0.03714748   -779.13606171   -779.09891423
       210       52.500       247.39      0.03408007   -779.13622176   -779.10214169
