# MD Simulation - NVE Ensemble
# Timestep: 0.25 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       132       33.000       298.64      0.04113950   -779.13262454   -779.09148504
       133       33.250       291.06      0.04009563   -779.13232289   -779.09222726
       134       33.500       285.52      0.03933231   -779.13210030   -779.09276800
       135       33.750       285.42      0.03931874   -779.13209307   -779.09277433
       136       34.000       292.05      0.04023184   -779.13235291   -779.09212106
       137       34.250       303.80      0.04185026   -779.13281554   -779.09096528
       138       34.500       317.01      0.04366963   -779.13333486   -779.08966523
       139       34.750       327.77      0.04515179   -779.13375595   -779.08860415
       140       35.000       333.53      0.04594592   -779.13397928   -779.08803336
       141       35.250       333.77      0.04597863   -779.13398503   -779.08800640
       142       35.500       329.70      0.04541866   -779.13382247   -779.08840381
       143       35.750       323.60      0.04457760   -779.13358076   -779.08900316
       144       36.000       317.93      0.04379754   -779.13335747   -779.08955993
       145       36.250       314.67      0.04334726   -779.13322935   -779.08988209
       146       36.500       314.61      0.04333949   -779.13322880   -779.08988930
       147       36.750       317.17      0.04369173   -779.13333207   -779.08964034
       148       37.000       320.52      0.04415407   -779.13346754   -779.08931347
       149       37.250       322.36      0.04440707   -779.13354315   -779.08913608
       150       37.500       320.84      0.04419808   -779.13348601   -779.08928793
       151       37.750       315.46      0.04345611   -779.13327565   -779.08981954
       152       38.000       307.22      0.04232181   -779.13295292   -779.09063110
       153       38.250       298.10      0.04106467   -779.13259636   -779.09153169
       154       38.500       289.85      0.03992925   -779.13227687   -779.09234762
       155       38.750       283.20      0.03901280   -779.13202162   -779.09300881
       156       39.000       277.76      0.03826351   -779.13181381   -779.09355030
       157       39.250       272.87      0.03759000   -779.13162545   -779.09403546
       158       39.500       268.42      0.03697639   -779.13145186   -779.09447547
       159       39.750       264.98      0.03650317   -779.13131715   -779.09481398
       160       40.000       263.30      0.03627171   -779.13125157   -779.09497987
       161       40.250       263.63      0.03631684   -779.13126525   -779.09494842
       162       40.500       265.60      0.03658871   -779.13134293   -779.09475422
       163       40.750       268.66      0.03700954   -779.13146141   -779.09445187
       164       41.000       272.52      0.03754086   -779.13160972   -779.09406886
       165       41.250       277.25      0.03819355   -779.13179212   -779.09359857
       166       41.500       282.89      0.03897054   -779.13201099   -779.09304044
       167       41.750       288.90      0.03979755   -779.13224571   -779.09244815
       168       42.000       294.10      0.04051383   -779.13244972   -779.09193590
       169       42.250       297.27      0.04095111   -779.13257347   -779.09162236
       170       42.500       298.03      0.04105503   -779.13260031   -779.09154528
       171       42.750       297.29      0.04095303   -779.13256695   -779.09161393
       172       43.000       296.85      0.04089278   -779.13254611   -779.09165333
       173       43.250       298.13      0.04106943   -779.13259583   -779.09152640
       174       43.500       300.99      0.04146329   -779.13271089   -779.09124761
       175       43.750       303.59      0.04182172   -779.13281769   -779.09099597
       176       44.000       303.51      0.04180985   -779.13281835   -779.09100850
       177       44.250       299.21      0.04121843   -779.13265195   -779.09143352
       178       44.500       290.97      0.04008308   -779.13232918   -779.09224610
       179       44.750       280.60      0.03865391   -779.13192268   -779.09326877
       180       45.000       270.54      0.03726798   -779.13152929   -779.09426131
       181       45.250       262.94      0.03622166   -779.13123302   -779.09501136
       182       45.500       259.19      0.03570448   -779.13108696   -779.09538248
       183       45.750       259.82      0.03579161   -779.13111175   -779.09532014
       184       46.000       264.66      0.03645853   -779.13130040   -779.09484187
       185       46.250       272.90      0.03759349   -779.13162144   -779.09402795
       186       46.500       283.21      0.03901408   -779.13202318   -779.09300909
       187       46.750       294.07      0.04051003   -779.13244521   -779.09193518
       188       47.000       304.29      0.04191752   -779.13284027   -779.09092274
       189       47.250       313.54      0.04319219   -779.13319552   -779.09000333
       190       47.500       322.45      0.04442004   -779.13353675   -779.08911671
       191       47.750       331.96      0.04572957   -779.13390270   -779.08817314
       192       48.000       342.27      0.04714930   -779.13430311   -779.08715380
       193       48.250       352.26      0.04852634   -779.13469391   -779.08616757
       194       48.500       359.99      0.04959061   -779.13499609   -779.08540548
       195       48.750       363.87      0.05012597   -779.13514621   -779.08502025
       196       49.000       363.78      0.05011298   -779.13513884   -779.08502586
       197       49.250       361.04      0.04973596   -779.13502803   -779.08529207
       198       49.500       357.58      0.04925825   -779.13489080   -779.08563255
       199       49.750       354.69      0.04886144   -779.13477967   -779.08591823
       200       50.000       352.46      0.04855331   -779.13469625   -779.08614295
       201       50.250       349.82      0.04818952   -779.13459807   -779.08640856
       202       50.500       345.38      0.04757872   -779.13442933   -779.08685061
       203       50.750       338.27      0.04659867   -779.13415461   -779.08755594
       204       51.000       328.56      0.04526116   -779.13377741   -779.08851625
       205       51.250       317.29      0.04370892   -779.13333870   -779.08962977
       206       51.500       306.13      0.04217123   -779.13290347   -779.09073225
       207       51.750       297.01      0.04091561   -779.13254716   -779.09163155
       208       52.000       291.86      0.04020549   -779.13234463   -779.09213914
